Winner,First_pokemon,Second_pokemon,WTag
8,8,623,1
517,517,88,1
563,49,563,2
394,391,394,2
380,380,483,1
116,113,116,2
296,296,401,1
611,250,611,2
784,584,784,2
597,597,529,1
608,608,26,1
676,676,353,1
622,661,622,2
696,696,767,1
619,364,619,2
643,643,647,1
547,547,642,1
63,63,725,1
713,713,293,1
740,346,740,2
133,79,133,2
131,673,131,2
533,533,517,1
59,194,59,2
196,196,774,1
704,241,704,2
35,35,458,1
29,559,29,2
362,146,362,2
171,566,171,2
702,702,121,1
531,543,531,2
213,213,622,1
244,357,244,2
716,251,716,2
554,668,554,2
449,449,98,1
736,665,736,2
278,81,278,2
11,220,11,2
589,562,589,2
772,772,715,1
154,154,21,1
289,452,289,2
724,724,179,1
787,261,787,2
199,199,792,1
268,238,268,2
704,704,527,1
257,106,257,2
535,290,535,2
330,189,330,2
350,333,350,2
7,512,7,2
204,204,224,1
568,605,568,2
159,741,159,2
605,605,492,1
443,768,443,2
271,271,686,1
249,249,609,1
301,301,34,1
57,57,604,1
390,180,390,2
682,682,470,1
74,81,74,2
614,614,443,1
71,71,370,1
13,13,612,1
135,788,135,2
41,418,41,2
527,527,201,1
397,281,397,2
738,593,738,2
715,578,715,2
339,749,339,2
465,465,510,1
623,623,799,1
83,83,609,1
724,724,622,1
6,656,6,2
405,405,578,1
20,75,20,2
475,573,475,2
229,229,76,1
124,567,124,2
546,416,546,2
758,784,758,2
475,304,475,2
314,434,314,2
283,770,283,2
143,143,243,1
451,304,451,2
719,719,225,1
494,494,678,1
687,306,687,2
477,477,363,1
285,285,668,1
335,180,335,2
531,328,531,2
184,728,184,2
494,494,86,1
670,670,743,1
63,63,120,1
340,706,340,2
25,370,25,2
206,206,800,1
186,673,186,2
547,470,547,2
665,627,665,2
770,627,770,2
603,436,603,2
705,705,336,1
522,522,461,1
431,720,431,2
26,124,26,2
233,233,666,1
179,62,179,2
451,451,746,1
545,545,151,1
216,14,216,2
253,60,253,2
177,207,177,2
445,445,87,1
613,613,293,1
69,250,69,2
131,99,131,2
239,240,239,2
217,217,374,1
727,650,727,2
590,590,22,1
544,708,544,2
275,367,275,2
412,310,412,2
588,284,588,2
37,728,37,2
148,148,310,1
732,320,732,2
601,601,113,1
673,235,673,2
14,738,14,2
347,347,45,1
129,129,744,1
538,538,607,1
154,792,154,2
712,712,40,1
606,606,40,1
7,303,7,2
755,755,602,1
603,683,603,2
472,472,584,1
338,338,331,1
672,672,719,1
628,628,113,1
202,619,202,2
709,709,488,1
492,486,492,2
339,498,339,2
93,578,93,2
567,665,567,2
366,366,13,1
244,244,146,1
433,433,512,1
301,301,381,1
791,791,482,1
73,456,73,2
499,499,731,1
677,76,677,2
582,582,380,1
610,779,610,2
110,110,401,1
700,700,580,1
48,19,48,2
722,722,312,1
697,76,697,2
651,748,651,2
211,211,395,1
484,484,123,1
250,796,250,2
523,523,334,1
253,253,190,1
708,708,735,1
232,336,232,2
44,559,44,2
555,555,126,1
648,648,619,1
306,539,306,2
612,338,612,2
211,211,210,1
103,14,103,2
374,374,189,1
573,573,21,1
165,778,165,2
28,28,381,1
726,531,726,2
469,469,501,1
727,325,727,2
9,9,300,1
411,104,411,2
574,440,574,2
722,599,722,2
512,512,242,1
71,760,71,2
5,363,5,2
302,302,769,1
377,377,502,1
722,319,722,2
710,710,770,1
300,344,300,2
724,170,724,2
387,387,211,1
588,326,588,2
